end,val,accn,fy,fp,form,filed,frame,unit,item,fact,cik,start
2010-08-31,39662816.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,CY2010Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2010-11-30,39677152.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,CY2010Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2011-02-28,39739031.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,CY2011Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2011-06-30,39682142.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,CY2011Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2011-08-31,40460631.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,CY2011Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2011-11-30,40283131.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,CY2011Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2012-02-29,40287771.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,CY2012Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2012-06-30,40167070.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,CY2012Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2012-08-31,39940227.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,CY2012Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2012-11-30,39694849.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,CY2012Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2013-02-28,39733395.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,CY2013Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2013-06-30,39196369.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,CY2013Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2013-08-31,39582086.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,CY2013Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2013-11-30,39600386.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,CY2013Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2014-02-28,39568550.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,CY2014Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2014-06-30,39590411.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,CY2014Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2014-08-31,39877641.0,0001104659-14-067921,2015,Q1,10-Q,2014-09-24,CY2014Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2014-11-30,39790994.0,0001104659-14-087894,2015,Q2,10-Q,2014-12-19,CY2014Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2015-02-28,39816105.0,0001104659-15-024608,2015,Q3,10-Q,2015-03-31,CY2015Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2015-06-30,35366407.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2015Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2015-08-31,35206053.0,0001104659-15-067241,2016,Q1,10-Q,2015-09-25,CY2015Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2015-11-30,35043625.0,0001104659-15-085700,2016,Q2,10-Q,2015-12-18,CY2015Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2016-02-29,34748311.0,0001104659-16-107128,2016,Q3,10-Q,2016-03-23,CY2016Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2016-06-30,34698633.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,CY2016Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2016-08-31,34174313.0,0001104659-16-146237,2017,Q1,10-Q,2016-09-23,CY2016Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2016-11-30,34329044.0,0001104659-16-163391,2017,Q2,10-Q,2016-12-22,CY2016Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2017-02-28,34324151.0,0001104659-17-018555,2017,Q3,10-Q,2017-03-22,CY2017Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2017-06-30,34396501.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,CY2017Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2017-08-31,34622093.0,0001104659-17-058003,2018,Q1,10-Q,2017-09-20,CY2017Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2017-11-30,34729373.0,0001104659-17-074650,2018,Q2,10-Q,2017-12-22,CY2017Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2018-02-28,34638738.0,0001104659-18-019104,2018,Q3,10-Q,2018-03-21,CY2018Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2018-06-29,34740330.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,CY2018Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2018-08-31,35041096.0,0001104659-18-058911,2019,Q1,10-Q,2018-09-27,CY2018Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2018-11-30,35095139.0,0001104659-18-073842,2019,Q2,10-Q,2018-12-19,CY2018Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2019-02-28,35066569.0,0001104659-19-016320,2019,Q3,10-Q,2019-03-20,CY2019Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2019-06-28,34826115.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,CY2019Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2019-08-31,34970316.0,0001410578-19-001436,2020,Q1,10-Q,2019-09-26,CY2019Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2019-11-30,34913642.0,0001104659-19-074491,2020,Q2,10-Q,2019-12-20,CY2019Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2020-02-29,35100696.0,0001104659-20-037857,2020,Q3,10-Q,2020-03-25,CY2020Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2020-06-30,35155371.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,CY2020Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2020-08-31,35300821.0,0001104659-20-108360,2021,Q1,10-Q,2020-09-24,CY2020Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2020-11-30,35292336.0,0001104659-20-137498,2021,Q2,10-Q,2020-12-18,CY2020Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2021-02-28,35319488.0,0001104659-21-040394,2021,Q3,10-Q,2021-03-23,CY2021Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2021-06-30,35404605.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,CY2021Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2021-08-31,35471158.0,0001104659-21-118843,2022,Q1,10-Q,2021-09-23,CY2021Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2021-11-30,35468871.0,0001104659-21-152249,2022,Q2,10-Q,2021-12-21,CY2021Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2022-02-28,35196677.0,0001104659-22-036639,2022,Q3,10-Q,2022-03-22,CY2022Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2022-06-30,35416624.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,CY2022Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2022-08-31,35083089.0,0001104659-22-102374,2023,Q1,10-Q,2022-09-22,CY2022Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2022-11-30,34455117.0,0001104659-22-128706,2023,Q2,10-Q,2022-12-20,CY2022Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2023-02-28,34706813.0,0001104659-23-035153,2023,Q3,10-Q,2023-03-21,CY2023Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2023-06-30,34934957.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,CY2023Q2I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2023-08-31,35294997.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,CY2023Q3I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2023-11-30,35502614.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,CY2023Q4I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2024-02-29,35427056.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,CY2024Q1I,shares,EntityCommonStockSharesOutstanding,dei,1750,
2010-11-30,934567976.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,CY2010Q4I,USD,EntityPublicFloat,dei,1750,
2011-11-30,699537824.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,CY2011Q4I,USD,EntityPublicFloat,dei,1750,
2012-11-30,578098760.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,CY2012Q4I,USD,EntityPublicFloat,dei,1750,
2013-11-29,1169000000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,CY2013Q4I,USD,EntityPublicFloat,dei,1750,
2014-11-28,962000000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2014Q4I,USD,EntityPublicFloat,dei,1750,
2015-11-30,806000000.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,CY2015Q4I,USD,EntityPublicFloat,dei,1750,
2016-11-30,1355000000.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,CY2016Q4I,USD,EntityPublicFloat,dei,1750,
2017-11-30,1344000000.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,CY2017Q4I,USD,EntityPublicFloat,dei,1750,
2018-11-30,1449000000.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,CY2018Q4I,USD,EntityPublicFloat,dei,1750,
2019-11-29,1474000000.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,CY2019Q4I,USD,EntityPublicFloat,dei,1750,
2020-11-30,952000000.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,CY2020Q4I,USD,EntityPublicFloat,dei,1750,
2021-11-30,1105000000.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,CY2021Q4I,USD,EntityPublicFloat,dei,1750,
2022-11-30,1524000000.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,CY2022Q4I,USD,EntityPublicFloat,dei,1750,
2010-05-31,114906000.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,,USD,AccountsPayableCurrent,us-gaap,1750,
2010-05-31,114906000.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2010-05-31,114906000.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2010-05-31,114906000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,CY2010Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2010-08-31,130112000.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,CY2010Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2010-11-30,129789000.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,CY2010Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2011-02-28,200656000.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,CY2011Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2011-05-31,185096000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,,USD,AccountsPayableCurrent,us-gaap,1750,
2011-05-31,185096000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,,USD,AccountsPayableCurrent,us-gaap,1750,
2011-05-31,185096000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2011-05-31,185096000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,,USD,AccountsPayableCurrent,us-gaap,1750,
2011-05-31,185096000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,CY2011Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2011-08-31,168791000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,CY2011Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2011-11-30,190759000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,CY2011Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2012-02-29,194481000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,CY2012Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2012-05-31,201405000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,,USD,AccountsPayableCurrent,us-gaap,1750,
2012-05-31,201400000.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,,USD,AccountsPayableCurrent,us-gaap,1750,
2012-05-31,201400000.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2012-05-31,201400000.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2012-05-31,201400000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,CY2012Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2012-08-31,176500000.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,CY2012Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2012-11-30,173900000.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,CY2012Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2013-02-28,178400000.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,CY2013Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2013-05-31,149300000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,USD,AccountsPayableCurrent,us-gaap,1750,
2013-05-31,149300000.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,,USD,AccountsPayableCurrent,us-gaap,1750,
2013-05-31,149300000.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,,USD,AccountsPayableCurrent,us-gaap,1750,
2013-05-31,149300000.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,,USD,AccountsPayableCurrent,us-gaap,1750,
2013-05-31,149300000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,CY2013Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2013-08-31,148200000.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,CY2013Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2013-11-30,144500000.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,CY2013Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2014-02-28,160500000.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,CY2014Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2014-05-31,171100000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,,USD,AccountsPayableCurrent,us-gaap,1750,
2014-05-31,171100000.0,0001104659-14-067921,2015,Q1,10-Q,2014-09-24,,USD,AccountsPayableCurrent,us-gaap,1750,
2014-05-31,171100000.0,0001104659-14-087894,2015,Q2,10-Q,2014-12-19,,USD,AccountsPayableCurrent,us-gaap,1750,
2014-05-31,171100000.0,0001104659-15-024608,2015,Q3,10-Q,2015-03-31,,USD,AccountsPayableCurrent,us-gaap,1750,
2014-05-31,171100000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2014Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2014-08-31,196600000.0,0001104659-14-067921,2015,Q1,10-Q,2014-09-24,CY2014Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2014-11-30,207600000.0,0001104659-14-087894,2015,Q2,10-Q,2014-12-19,CY2014Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2015-02-28,164600000.0,0001104659-15-024608,2015,Q3,10-Q,2015-03-31,CY2015Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2015-05-31,142300000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,,USD,AccountsPayableCurrent,us-gaap,1750,
2015-05-31,142300000.0,0001104659-15-067241,2016,Q1,10-Q,2015-09-25,,USD,AccountsPayableCurrent,us-gaap,1750,
2015-05-31,142300000.0,0001104659-15-085700,2016,Q2,10-Q,2015-12-18,,USD,AccountsPayableCurrent,us-gaap,1750,
2015-05-31,142300000.0,0001104659-16-107128,2016,Q3,10-Q,2016-03-23,,USD,AccountsPayableCurrent,us-gaap,1750,
2015-05-31,142300000.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,CY2015Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2015-08-31,151800000.0,0001104659-15-067241,2016,Q1,10-Q,2015-09-25,CY2015Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2015-11-30,154700000.0,0001104659-15-085700,2016,Q2,10-Q,2015-12-18,CY2015Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2016-02-29,162000000.0,0001104659-16-107128,2016,Q3,10-Q,2016-03-23,CY2016Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2016-05-31,163400000.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,,USD,AccountsPayableCurrent,us-gaap,1750,
2016-05-31,166300000.0,0001104659-16-146237,2017,Q1,10-Q,2016-09-23,,USD,AccountsPayableCurrent,us-gaap,1750,
2016-05-31,166300000.0,0001104659-16-163391,2017,Q2,10-Q,2016-12-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2016-05-31,166300000.0,0001104659-17-018555,2017,Q3,10-Q,2017-03-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2016-05-31,166300000.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,CY2016Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2016-08-31,154500000.0,0001104659-16-146237,2017,Q1,10-Q,2016-09-23,CY2016Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2016-11-30,179500000.0,0001104659-16-163391,2017,Q2,10-Q,2016-12-22,CY2016Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2017-02-28,194600000.0,0001104659-17-018555,2017,Q3,10-Q,2017-03-22,CY2017Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2017-05-31,177400000.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,,USD,AccountsPayableCurrent,us-gaap,1750,
2017-05-31,177400000.0,0001104659-17-058003,2018,Q1,10-Q,2017-09-20,,USD,AccountsPayableCurrent,us-gaap,1750,
2017-05-31,177400000.0,0001104659-17-074650,2018,Q2,10-Q,2017-12-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2017-05-31,164200000.0,0001104659-18-019104,2018,Q3,10-Q,2018-03-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2017-05-31,164200000.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,CY2017Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2017-08-31,176300000.0,0001104659-17-058003,2018,Q1,10-Q,2017-09-20,CY2017Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2017-11-30,195900000.0,0001104659-17-074650,2018,Q2,10-Q,2017-12-22,CY2017Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2018-02-28,176800000.0,0001104659-18-019104,2018,Q3,10-Q,2018-03-21,CY2018Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2018-05-31,170000000.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,,USD,AccountsPayableCurrent,us-gaap,1750,
2018-05-31,170000000.0,0001104659-18-058911,2019,Q1,10-Q,2018-09-27,,USD,AccountsPayableCurrent,us-gaap,1750,
2018-05-31,170000000.0,0001104659-18-073842,2019,Q2,10-Q,2018-12-19,,USD,AccountsPayableCurrent,us-gaap,1750,
2018-05-31,170000000.0,0001104659-19-016320,2019,Q3,10-Q,2019-03-20,,USD,AccountsPayableCurrent,us-gaap,1750,
2018-05-31,170000000.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,CY2018Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2018-08-31,179600000.0,0001104659-18-058911,2019,Q1,10-Q,2018-09-27,CY2018Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2018-11-30,205200000.0,0001104659-18-073842,2019,Q2,10-Q,2018-12-19,CY2018Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2019-02-28,218600000.0,0001104659-19-016320,2019,Q3,10-Q,2019-03-20,CY2019Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2019-05-31,187800000.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,,USD,AccountsPayableCurrent,us-gaap,1750,
2019-05-31,187800000.0,0001410578-19-001436,2020,Q1,10-Q,2019-09-26,,USD,AccountsPayableCurrent,us-gaap,1750,
2019-05-31,187800000.0,0001104659-19-074491,2020,Q2,10-Q,2019-12-20,,USD,AccountsPayableCurrent,us-gaap,1750,
2019-05-31,187800000.0,0001104659-20-037857,2020,Q3,10-Q,2020-03-25,,USD,AccountsPayableCurrent,us-gaap,1750,
2019-05-31,187800000.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,CY2019Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2019-08-31,212800000.0,0001410578-19-001436,2020,Q1,10-Q,2019-09-26,CY2019Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2019-11-30,231400000.0,0001104659-19-074491,2020,Q2,10-Q,2019-12-20,CY2019Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2020-02-29,295100000.0,0001104659-20-037857,2020,Q3,10-Q,2020-03-25,CY2020Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2020-05-31,191600000.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2020-05-31,191600000.0,0001104659-20-108360,2021,Q1,10-Q,2020-09-24,,USD,AccountsPayableCurrent,us-gaap,1750,
2020-05-31,191600000.0,0001104659-20-137498,2021,Q2,10-Q,2020-12-18,,USD,AccountsPayableCurrent,us-gaap,1750,
2020-05-31,191600000.0,0001104659-21-040394,2021,Q3,10-Q,2021-03-23,,USD,AccountsPayableCurrent,us-gaap,1750,
2020-05-31,191600000.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,CY2020Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2020-08-31,179800000.0,0001104659-20-108360,2021,Q1,10-Q,2020-09-24,CY2020Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2020-11-30,198300000.0,0001104659-20-137498,2021,Q2,10-Q,2020-12-18,CY2020Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2021-02-28,182600000.0,0001104659-21-040394,2021,Q3,10-Q,2021-03-23,CY2021Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2021-05-31,127200000.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2021-05-31,127200000.0,0001104659-21-118843,2022,Q1,10-Q,2021-09-23,,USD,AccountsPayableCurrent,us-gaap,1750,
2021-05-31,127200000.0,0001104659-21-152249,2022,Q2,10-Q,2021-12-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2021-05-31,127200000.0,0001104659-22-036639,2022,Q3,10-Q,2022-03-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2021-05-31,127200000.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,CY2021Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2021-08-31,144200000.0,0001104659-21-118843,2022,Q1,10-Q,2021-09-23,CY2021Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2021-11-30,124300000.0,0001104659-21-152249,2022,Q2,10-Q,2021-12-21,CY2021Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2022-02-28,140800000.0,0001104659-22-036639,2022,Q3,10-Q,2022-03-22,CY2022Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2022-05-31,156400000.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2022-05-31,156400000.0,0001104659-22-102374,2023,Q1,10-Q,2022-09-22,,USD,AccountsPayableCurrent,us-gaap,1750,
2022-05-31,156400000.0,0001104659-22-128706,2023,Q2,10-Q,2022-12-20,,USD,AccountsPayableCurrent,us-gaap,1750,
2022-05-31,156400000.0,0001104659-23-035153,2023,Q3,10-Q,2023-03-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2022-05-31,156400000.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,CY2022Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2022-08-31,194500000.0,0001104659-22-102374,2023,Q1,10-Q,2022-09-22,CY2022Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2022-11-30,156500000.0,0001104659-22-128706,2023,Q2,10-Q,2022-12-20,CY2022Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2023-02-28,158700000.0,0001104659-23-035153,2023,Q3,10-Q,2023-03-21,CY2023Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2023-05-31,158500000.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,,USD,AccountsPayableCurrent,us-gaap,1750,
2023-05-31,158500000.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,,USD,AccountsPayableCurrent,us-gaap,1750,
2023-05-31,158500000.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,,USD,AccountsPayableCurrent,us-gaap,1750,
2023-05-31,158500000.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,CY2023Q2I,USD,AccountsPayableCurrent,us-gaap,1750,
2023-08-31,222200000.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,CY2023Q3I,USD,AccountsPayableCurrent,us-gaap,1750,
2023-11-30,209700000.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,CY2023Q4I,USD,AccountsPayableCurrent,us-gaap,1750,
2024-02-29,230300000.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,CY2024Q1I,USD,AccountsPayableCurrent,us-gaap,1750,
2010-05-31,238466000.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2010-05-31,238466000.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2010-05-31,238466000.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2010-05-31,238466000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,CY2010Q2I,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2010-08-31,245096000.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,CY2010Q3I,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2010-11-30,257354000.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,CY2010Q4I,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2011-02-28,300030000.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,CY2011Q1I,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2011-05-31,287435000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2011-05-31,287435000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2011-05-31,287435000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2011-05-31,287435000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,,USD,AccountsReceivableNetCurrent,us-gaap,1750,
2011-05-31,287435000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,CY2011Q2I,USD,AccountsReceivableNetCurrent,us-gaap,1750,
